pathogen_name,pathogen_type,frequency_hz,disease_count,associated_diseases,target_organs
Entamoeba histolytica,Necunoscut,"381,100",1,Abces hepatic amoebian,hepar
Entamoeba histolytica trofozoite,385,387.8,1,Abces hepatic amoebian,hepar
Entamoeba histolytica trophozoite,385,387.8,1,Abces hepatic amoebian,hepar
Paragonimus utero-bilateral,Necunoscut,parazit,1,Abcesele cerebrale,cerebrum totalis; frontal cerebrum; occipital cerebrum
Propionibacterium acnes,Bacterie,"383,750",7,Infecții; Endocardita bacteriană; Endocardita bacteriană (streptococi viridans sau enterococi); Endocardita Infecțioasă; Osteomielita acută și cronică; ACNEE; Endocardita gonococică,erythrocutes; cutis; os; periosteum; mitrai valve; myocardium; blood; lymph; bones; endocardium; cor
Propionobacterium acnes,387,389.0,2,Osteomielita acută și cronică; ACNEE,os; periosteum; cutis; bones
Dioxina,Necunoscut,cancerogen,10,EWING (sarcomul lui...); OASE (cancer la oase...) — SARCOMUL LUI EWING; LIMFOM; Sarcomul Ewing; Osteosarcomul; KAPOSI (sarcomul lui...); SARCOMUL LUI EWING; ACNEE; LEUCEMIE; Sarcom Kaposi,erythrocutes; cutis; granulocytes; os; lymph; blood; pulma; bone marrow; bones
ONCO JUN (Onchocerca),Parazit,6.899.879,12,ACRODERMATITA; Dermatita schistosomică (pruritul înotătorului); DERMATITA; Dermatita de Stază; NODULI; CECITATE; Dermatita actinică cronică; Oncocercoza; Dermatita herpetiformă; Hipoxemia severă (Sindromul de detresă respiratorie a adultului - ARDS); DINTI - MASEA DE MINTE INCLUSA; DERMATITA SEBOREICA,bronchi; cutis; petina et chorioidea; conjunctiva; glandula thyreoidea; lymph; pulma; crystalline lens; cornea; teeth; vitreous body
Borrelia afzelii / burgdorferi,Necunoscut,bacterie,8,Boala Lyme; ACRODERMATITA; Boala renală cronică în contextul hipertensiunii; DERMATITA; Boala Granulomatoasă Cronică; Boala pulmonară obstructivă cronică (BPOC); Polineuropatia în boala Lyme; Boala hepatică cronică,erythrocutes; bronchi; medulla spinalis; cutis; membrana synovalis; renes; lymph; blood; nervus trigeminus; pulma; hepar; arteries; cor
Actinomyces odontosyticus,Bacterie,6.486.846,8,"Boli pulmonare obstructive cronice (BPOC); Actinomicoza; Boli pulmonare interstițiale (BPI); Leziuni pulmonare acute legate de transfuzie (TRALI); Afectări Cardiopulmonare; Infecții extrapulmonare cu Legionella; Infecții pulmonare (e.g., pneumonie, aspergiloză); Afecțiuni pulmonare datorate poluării atmosferice",bronchi; cutis; lymph; myocardium; blood; pulma; hepar; cor
Lumpy Jaw,Necunoscut,-,1,Actinomicoza,lymph; cutis; hepar; pulma
Multiceps serialis,Parazit,"453,600",9,"CRAMPE MUSCULARE (in general); DISTROFIE MUSCULARA; RIGIDITATE (articulară, musculară); CHIST; Distrofia Musculară Becker; Afectarea sistemului nervos central (SNC); Distrofia Musculară Duchenne; MUȘCHI-DISTROFIE MUSCULARĂ; Boli musculare",muscle; medulla spinalis; ovaria; renes; blood; cerebrum totalis; hepar
Toxocara canis,Parazit,"170,000",3,Larva migrans viscerală și oculară; Afectarea sistemului nervos central (SNC); CECITATE,medulla spinalis; petina et chorioidea; conjunctiva; cerebrum totalis; crystalline lens; cornea; hepar; vitreous body
